Date,AAPL,MSFT,AMZN,GOOGL,FB,TSLA,BRK-B,JPM,JNJ,NVDA,V,PG,UNH,HD,DIS,PYPL,MA,VZ,NFLX,ADBE,INTC,CMCSA,CSCO,PFE,PEP,KO,MRK,T,NKE,WMT,XOM,BMY,ABBV,COST,MCD,WBA,MDT,ACN,AVGO,AMGN,TXN,HON,NEE,QCOM,IBM,TMO,PM,CVX,ORCL
2023-11-08 00:00:00+00:00,182.88999938964844,363.20001220703125,142.0800018310547,131.83999633789062,,222.11000061035156,346.29998779296875,144.72000122070312,150.35000610351562,46.57400131225586,243.91000366210938,150.00999450683594,536.72998046875,295.9200134277344,84.5,55.08000183105469,389.70001220703125,35.77000045776367,436.6499938964844,585.3099975585938,37.91999816894531,41.52000045776367,53.0,30.81999969482422,167.38999938964844,57.09000015258789,104.4000015258789,15.649999618530273,109.38999938964844,54.766666412353516,102.93000030517578,52.41999816894531,142.02999877929688,567.3800048828125,267.489990234375,21.0,71.70999908447266,317.82000732421875,91.11299896240234,273.260009765625,145.22000122070312,184.6199951171875,57.5,120.05999755859375,148.02999877929688,454.30999755859375,90.19999694824219,142.39999389648438,112.33000183105469
2023-11-09 00:00:00+00:00,182.41000366210938,360.69000244140625,140.60000610351562,130.24000549316406,,209.97999572753906,348.17999267578125,144.2899932861328,147.4199981689453,46.95000076293945,241.63999938964844,150.35000610351562,539.0,287.8699951171875,90.33999633789062,54.279998779296875,387.9599914550781,35.619998931884766,435.1499938964844,577.739990234375,37.79999923706055,40.880001068115234,52.0,29.68000030517578,166.16000366210938,56.65999984741211,102.37999725341797,15.630000114440918,107.0,54.63999938964844,102.95999908447266,50.40999984741211,138.0399932861328,563.27001953125,266.9100036621094,20.450000762939453,70.08999633789062,314.2200012207031,91.13800048828125,264.05999755859375,143.27000427246094,183.67999267578125,54.720001220703125,120.0999984741211,146.6199951171875,444.2699890136719,89.80000305175781,141.94000244140625,112.18000030517578
2023-11-10 00:00:00+00:00,186.39999389648438,369.6700134277344,143.55999755859375,132.58999633789062,,214.64999389648438,350.55999755859375,146.42999267578125,147.25,48.334999084472656,245.25,151.41000366210938,541.2100219726562,291.5899963378906,88.2699966430664,54.77000045776367,394.3800048828125,35.709999084472656,447.239990234375,597.219970703125,38.86000061035156,41.90999984741211,52.59000015258789,29.479999542236328,166.9199981689453,56.720001220703125,101.38999938964844,15.640000343322754,106.11000061035156,55.39666748046875,103.75,50.61000061035156,138.58999633789062,577.1199951171875,267.7900085449219,20.760000228881836,70.68000030517578,319.69000244140625,95.75199890136719,267.30999755859375,147.19000244140625,186.7100067138672,55.13999938964844,124.20999908447266,149.02000427246094,448.42999267578125,89.69999694824219,142.9499969482422,113.06999969482422
2023-11-13 00:00:00+00:00,184.8000030517578,366.67999267578125,142.58999633789062,132.08999633789062,,223.7100067138672,350.010009765625,145.77999877929688,147.6300048828125,48.619998931884766,244.6699981689453,152.4600067138672,542.5700073242188,288.07000732421875,89.44000244140625,54.38999938964844,394.3500061035156,35.81999969482422,444.6199951171875,590.3400268554688,38.22999954223633,41.4900016784668,52.22999954223633,28.979999542236328,167.77000427246094,56.93000030517578,102.47000122070312,15.579999923706055,104.19999694824219,55.893333435058594,104.83999633789062,50.150001525878906,138.63999938964844,578.22998046875,269.20001220703125,20.170000076293945,72.08000183105469,315.6300048828125,94.69300079345703,266.69000244140625,145.8699951171875,186.50999450683594,54.5,123.8499984741211,148.10000610351562,445.1499938964844,90.0,144.0,114.1500015258789
2023-11-14 00:00:00+00:00,187.44000244140625,370.2699890136719,145.8000030517578,133.6199951171875,,237.41000366210938,354.25,148.44000244140625,147.66000366210938,49.65599822998047,246.94000244140625,152.1199951171875,540.4600219726562,303.6300048828125,91.06999969482422,56.68000030517578,397.6499938964844,35.880001068115234,448.6499938964844,604.3300170898438,39.40999984741211,41.869998931884766,53.16999816894531,29.260000228881836,168.11000061035156,57.099998474121094,102.16999816894531,15.630000114440918,105.75,55.883331298828125,104.29000091552734,50.52000045776367,138.05999755859375,590.7999877929688,271.489990234375,21.09000015258789,72.58999633789062,320.489990234375,97.2959976196289,270.0199890136719,149.92999267578125,190.24000549316406,57.54999923706055,127.36000061035156,150.41000366210938,459.260009765625,90.4000015258789,145.0500030517578,116.0999984741211
2023-11-15 00:00:00+00:00,188.00999450683594,369.6700134277344,143.1999969482422,134.6199951171875,,242.83999633789062,356.7900085449219,149.74000549316406,148.8000030517578,48.88800048828125,248.11000061035156,151.4199981689453,538.4099731445312,308.19000244140625,93.93000030517578,58.25,396.8299865722656,36.0,461.94000244140625,595.3099975585938,40.61000061035156,42.529998779296875,53.279998779296875,30.190000534057617,167.25,57.209999084472656,101.3499984741211,15.760000228881836,107.81999969482422,56.59333419799805,103.66000366210938,51.56999969482422,137.60000610351562,596.780029296875,270.3900146484375,21.549999237060547,74.0199966430664,325.5,97.54000091552734,273.0299987792969,151.8699951171875,189.5500030517578,57.0,128.9199981689453,152.5800018310547,470.5400085449219,91.7300033569336,145.55999755859375,114.05999755859375
2023-11-16 00:00:00+00:00,189.7100067138672,376.1700134277344,142.8300018310547,136.92999267578125,,233.58999633789062,359.8599853515625,151.4499969482422,150.10000610351562,49.47999954223633,248.57000732421875,152.8300018310547,539.8200073242188,306.44000244140625,94.51000213623047,56.81999969482422,397.1000061035156,36.18000030517578,466.95001220703125,602.0599975585938,43.349998474121094,42.40999984741211,48.040000915527344,29.770000457763672,167.7100067138672,57.150001525878906,101.98999786376953,15.880000114440918,107.61000061035156,52.01333236694336,102.45999908447266,50.84000015258789,138.27999877929688,578.5800170898438,276.1199951171875,20.75,74.87999725341797,327.32000732421875,95.95500183105469,269.0,151.88999938964844,190.7100067138672,56.599998474121094,128.6999969482422,153.05999755859375,472.4700012207031,91.27999877929688,141.77000427246094,114.66999816894531
2023-11-17 00:00:00+00:00,189.69000244140625,369.8500061035156,145.17999267578125,135.30999755859375,,234.3000030517578,358.92999267578125,152.82000732421875,149.7899932861328,49.29800033569336,249.55999755859375,151.07000732421875,536.2899780273438,307.2699890136719,94.1500015258789,56.540000915527344,400.29998779296875,36.22999954223633,465.9100036621094,602.6599731445312,43.810001373291016,42.41999816894531,47.7599983215332,29.920000076293945,166.75999450683594,57.2599983215332,101.75,15.899999618530273,105.95999908447266,51.78333282470703,104.95999908447266,50.84000015258789,138.3000030517578,577.1500244140625,275.75,21.219999313354492,74.76000213623047,327.8299865722656,97.77300262451172,265.3900146484375,154.6199951171875,191.2100067138672,57.369998931884766,129.47000122070312,152.88999938964844,466.4200134277344,91.94999694824219,144.4600067138672,115.36000061035156
2023-11-20 00:00:00+00:00,191.4499969482422,377.44000244140625,146.1300048828125,136.25,,235.60000610351562,361.3299865722656,153.2899932861328,149.91000366210938,50.409000396728516,249.97000122070312,150.27000427246094,535.0999755859375,308.19000244140625,95.02999877929688,56.9900016784668,404.3999938964844,36.72999954223633,474.4700012207031,612.7000122070312,44.7400016784668,42.939998626708984,48.27000045776367,29.979999542236328,166.52000427246094,57.400001525878906,102.68000030517578,16.100000381469727,106.31999969482422,51.766666412353516,104.5,48.900001525878906,138.30999755859375,580.7999877929688,279.0299987792969,21.030000686645508,75.16000366210938,330.8999938964844,99.57099914550781,265.3500061035156,155.5399932861328,191.8000030517578,57.34000015258789,129.50999450683594,154.35000610351562,469.0299987792969,92.37999725341797,144.3800048828125,116.91999816894531
2023-11-21 00:00:00+00:00,190.63999938964844,373.07000732421875,143.89999389648438,136.97000122070312,,241.1999969482422,361.0,152.97000122070312,151.1199951171875,49.944000244140625,252.22999572753906,149.61000061035156,539.5900268554688,305.3399963378906,94.44999694824219,55.400001525878906,408.95001220703125,37.25,474.95001220703125,610.989990234375,43.63999938964844,42.599998474121094,47.79999923706055,30.299999237060547,167.8000030517578,58.029998779296875,102.20999908447266,16.190000534057617,106.55000305175781,51.95333480834961,104.45999908447266,48.47999954223633,138.72999572753906,584.2999877929688,280.4700012207031,20.979999542236328,78.62000274658203,330.260009765625,98.12000274658203,262.82000732421875,153.42999267578125,191.24000549316406,57.97999954223633,127.0199966430664,153.91000366210938,482.3900146484375,92.80000305175781,144.0399932861328,116.08000183105469
